foa_id,title,agency,source,open_date,close_date,eligibility,description,award_min,award_max,source_url,tags_research_domains,tags_methods,tags_populations,tags_sponsor_themes,ingested_at
nsf-2540176,CAREER: Bioengineering of a Human Blood-Spinal Cord Barrier-on-a-Chip,NSF,nsf,2026-07-01T00:00:00,2031-06-30T00:00:00,,"The human body has a protective shield between the bloodstream and the central nervous system (CNS). This shield includes the blood-spinal cord barrier (BSCB). The BSCB strictly controls which molecules enter the spinal cord. A damaged or compromised BSCB can contribute to neurological disorders, including spinal cord injuries and Amyotrophic Lateral Sclerosis (ALS). Studying these diseases or testing new treatments is challenging, because researchers do not have laboratory models that accurately mimic the BSCB. This CAREER project will bioengineer a ""BSCB-on-a-chip."" The project will use advanced stem cell technology and micro-engineering tools to create a three-dimensional (3D) model that replicates complex interactions between human spinal cord tissue and blood vessels. The BSCB-on-a-chip will help researchers understand how the spinal cord barrier develops and screen new drugs without extensive animal testing. The project will also provide interdisciplinary training for college stu",600000.0,600000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2540176,,,Children & Youth,"Convergence Research | Equity, Diversity & Inclusion | Workforce Development",2026-03-02T12:47:37.485944+00:00
nsf-2540313,CAREER: Topological quantum devices as a window into strongly correlated matter,NSF,nsf,2026-08-01T00:00:00,2031-07-31T00:00:00,,"NONTECHNICAL SUMMARY A central challenge for quantum materials is understanding how large numbers of electrons interact and organize themselves into collective quantum states. These interactions often lead to emergent behavior, where the system exhibits new properties that are more than those of the sum of its parts. Well-known examples include superconductivity, which enables electric current to flow without resistance, and magnetism, which enables materials to generate magnetic fields. These phenomena have led to mature applications in technologies such as medical imaging and magnetic storage. Even more exotic is the phenomenon of charge fractionalization, where the material behaves as if its electrons have split up and carry a fraction of the electron charge. Such effects could potentially be harnessed to enable noise-resilient quantum information processing. Recent advances in experimental techniques have made it possible to fabricate and measure mesoscopic-scale quantum devices th",360000.0,360000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2540313,Quantum Computing,Experimental Research,Older Adults,Workforce Development,2026-03-02T12:47:32.341763+00:00
nsf-2540369,CAREER: Establishing Structure-property Relationships in Anion Exchange Membranes to Empower Water Electrolysis,NSF,nsf,2026-08-01T00:00:00,2031-07-31T00:00:00,,"Hydrogen is used as transportation fuel, to produce ammonia for fertilizers, and to upgrade oil for numerous products. This project seeks to lower the cost of producing hydrogen by improving water electrolysis technology. Electrolyzers use ion-conducting membranes as separators. The project will identify relationships between membrane polymer structure of the membrane and its performance in an electrolyzer. These relationships are not well understood. The goal is to design efficient ion-conducting membranes that remain stable over time. The results of the project will help guide membrane design. The project will provide hands-on learning activities that connect to the research. It will create a training environment that prepares students for careers in polymer science and electrochemical engineering. Training activities will emphasize laboratory work, mentorship, teamwork, and clear scientific communication. The research will support manufacturing and the domestic energy industry. The ",582747.0,582747.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2540369,Engineering | Materials Science,,,Innovation & Commercialization | Workforce Development,2026-03-02T12:47:32.341854+00:00
nsf-2541217,CAREER: Understanding Traumatic Brain Injury Through Cross Species Brain Biomechanics,NSF,nsf,2026-07-01T00:00:00,2031-06-30T00:00:00,,"This Faculty Early Career Development Program (CAREER) award supports a research and education program that improves the understanding of how head impacts and traumatic events cause brain injury in humans and animals. Traumatic brain injury is a major cause of long-term disability and economic burden in the United States. However, brain injuries often occur at microscopic scales that cannot be seen in living humans, limiting efforts to understand and prevent them. This project will develop detailed digital models of human and animal brains to examine how features such as brain shape, folding patterns, and nerve fiber pathways influence where injuries occur and how they spread through the brain. The project will advance scientific understanding of brain injury and help inform the development of more effective protective strategies for the general population. It will also support the design of animal studies that better reflect human injury, reducing the need for new animal testing in al",600000.0,600000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2541217,Machine Learning,Simulation,Older Adults,Workforce Development,2026-03-02T12:47:32.341956+00:00
nsf-2541375,CAREER: Modeling High Free Volume Polymers: Influence of Free Volume Element Distribution and Chain Dynamics on Physical Aging,NSF,nsf,2026-08-01T00:00:00,2031-07-31T00:00:00,,"NONTECHNICAL Summary This award supports computational research and education to advance understanding of physical polymer aging, the process where the configuration of atoms relaxes over time leading to changes the properties of polymers. Polymers are long chain molecules made of several repeating units. When these chains are tangled and randomly arranged without any order, the polymer is said to be ‘amorphous’. Below the glass transition temperature (the point at which the polymer changes from soft and flexible to hard and glass-like), amorphous polymers are widely used in applications ranging from storage and packaging to separation technologies. Owing to their low cost and ease of manufacturing, polymer membranes have the potential to dramatically reduce the energy required for industrial separations, which currently account for a substantial fraction of global energy consumption. Polymers of intrinsic microporosity are especially promising membrane materials because their loosely ",384961.0,384961.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2541375,Materials Science,Experimental Research | Simulation,Children & Youth | Older Adults | Persons with Disabilities,Workforce Development,2026-03-02T12:47:32.341617+00:00
nsf-2541578,Summer School on Understanding the Earth System Across Scales Workshop,NSF,nsf,2026-08-15T00:00:00,2027-07-31T00:00:00,,"This award supports a summer workshop for graduate students and early-career scientists that combines lectures with hands-on small groups research projects in hackathon-style format. The workshop addresses the growing need for more accurate forecasts of conditions that affect daily life, from severe storms to heat waves to long-term shifts in weather patterns. Reliable forecasts across a wide range of time scales are essential for protecting life and property, and supporting preparedness and planning. By bringing together emerging researchers, the workshop also helps build the skilled workforce needed to advance forecasting science. The theme of this year's workshop is understanding the Earth systems across scales, motivated by the need for better predictions of weather phenomena. Participants will explore several key challenges, including why forecasts often lose accuracy in the period between about two weeks and one month; how interactions across scales, from local weather systems to",49828.0,49828.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2541578,Artificial Intelligence,,,,2026-03-02T12:47:32.341179+00:00
nsf-2541871,CAREER: Understanding Intermediate Sulfur Phases for Enhanced Energy Storage,NSF,nsf,2026-07-01T00:00:00,2031-06-30T00:00:00,,"Sulfur is an attractive material for energy storage because it is abundant, inexpensive, and can store more energy than materials used in batteries today. Still, sulfur-based batteries have not reached their full potential. The various forms sulfur takes during operations are not well understood. This project focuses on a newly discovered liquid sulfur phase. This liquid form of sulfur has not been explored even though it may be a transformative energy material. The project will investigate how different sulfur phases form, transform, and interact with electrodes during charging and discharging. The team will design sulfur-based electrochemical cells that deliver high energy density quickly and efficiently. The project will lead to a better understanding of sulfur phases and pave the way for low-cost, high-performance sulfur-based energy storage systems. The project will establish a Microscopy, Spectroscopy, and Electrochemical Characterizations (MSEC) program for OU students and the l",619838.0,619838.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2541871,,,,,2026-03-02T12:47:32.343118+00:00
nsf-2542214,CAREER: Unraveling contributions of passive and active joint stabilizers to advance fundamental knowledge of joint instability,NSF,nsf,2026-07-01T00:00:00,2031-06-30T00:00:00,,"This CAREER project will help unravel the contributions of tissues that stabilize joints. Injuries and diseases, such as osteoarthritis, can lead to joint instability that limits function and accelerates degeneration. The root cause of joint instability is not well understood because the contributions of different stabilizing tissues are intertwined. This project will advance an algorithm to understand how different tissues stabilize joints during common movements. Robotic technologies will be developed to evaluate joint and tissue properties. Educational activities will include undergraduate student design of next generation exoskeletons for use by healthcare providers and student training. These activities will enhance student’s preparation for product design in industry and translation. This integrated effort combining biomechanics, robotics, and workforce training will pave the way for future treatments to mitigate the impacts of knee instability. This CAREER project will focus on ",629996.0,629996.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2542214,Robotics,,,Workforce Development,2026-03-02T12:47:37.486491+00:00
nsf-2542943,CAREER: A Systematic Framework for Synergistic Co-Design of Form and Function in Hybrid Dynamical Systems,NSF,nsf,2026-09-01T00:00:00,2031-08-31T00:00:00,,"This Faculty Early Career Development Program (CAREER) grant funds research that enables general purpose robotic systems that can change their forms to optimally achieve a range of functions. This research introduces a systematic framework for synthesizing form and function within a dynamical system, replacing manual motion design with a scalable, tractable, and data-efficient approach. Unlike traditional fixed-form systems, whose shapes are determined at design time and tailored to specific tasks, this research enables next-generation platforms that can continuously morph to select shapes for solving complex multi-stage tasks in an optimal manner, thereby promoting the progress of science, advancing national prosperity and welfare, and securing the national defense. Tightly integrated with the research activities, this grant also funds a comprehensive outreach strategy to engage participants across various educational levels, including K-12 students, schoolteachers, undergraduate stud",611222.0,611222.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2542943,Data Science | Education Research | Robotics,Participatory Research,Children & Youth,Convergence Research | National Security | Workforce Development,2026-03-02T12:47:32.340024+00:00
nsf-2543029,CAREER: Dynamical Analysis of Global Optimization Algorithms,NSF,nsf,2026-07-01T00:00:00,2031-06-30T00:00:00,,"The design of engineering systems – from chemical plants to molecular design – must be as effective as possible within limits imposed by costs, resources, physical laws, and safety rules. To find the best solution, engineers use computer programs called optimization solvers. Solvers rely on complex algorithms that need careful tuning by experts to perform well. This project will create a framework to better understand how these solvers work, focusing on how they rule out poor solutions and move toward the best one. By analyzing large amounts of data generated by the solvers and applying machine learning methods, the project will identify patterns to explain solver behavior. The results will help engineers interpret solver decisions and enable solvers to automatically improve their own performance, becoming faster and more accurate without manual adjustment. This data-driven approach can strengthen industrial automation systems, support materials and drug design, and speed up the develo",549353.0,549353.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2543029,Data Science | Engineering | Machine Learning,Machine Learning Methods | Simulation,Older Adults,,2026-03-02T12:47:37.486688+00:00
nsf-2543094,CAREER: Improving Peer Interactions in Engineering: An Exploration of Peer Behaviors in Engineering Classrooms,NSF,nsf,2026-09-01T00:00:00,2031-08-31T00:00:00,,"Engineers need to create robust solutions for society through technological, infrastructural, and medical advancements. To accomplish such tasks requires that they effectively work on teams with people from a variety of backgrounds. Effective teamwork involves skills to promote positive collaboration such as addressing challenging interpersonal situations. This project will identify the ways engineering undergraduate peers interact with each other in the classroom and whether or not they have self-awareness about their behaviors toward others. The project also aims to determine whether certain teaching practices positively influence peer interactions in engineering. The findings of the study will help instructors across engineering disciplines, through their teaching practices, help their students learn how to prevent negative peer interactions so they can effectively work on teams, a key skill needed for productivity in the engineering workforce. By focusing on peer interaction during",500000.0,500000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2543094,Education Research,Qualitative Research | Survey Research,,"Equity, Diversity & Inclusion | Workforce Development",2026-03-02T12:47:32.340447+00:00
nsf-2543343,CAREER: Atomistic-Scale Investigation of How Chemical and Physical Heterogeneities Govern Ion-Selective Transport in Metal-Organic Framework Membranes,NSF,nsf,2026-09-01T00:00:00,2031-08-31T00:00:00,,"Modern technologies like lithium-ion batteries, electric vehicles, and advanced manufacturing depend on critical minerals. These minerals are often found in seawater, brines, and wastewater. The minerals of interest mix with other minerals of similar size and chemical behavior. Separating nearly identical ions is very difficult. Membrane-based separation methods are energy-efficient, but designing membranes that can tell similar ions apart is a challenge. This project will improve membrane design by analyzing how the membrane’s chemistry and internal structure control the motion of ions through membranes. The project will use quantum calculations and other simulations to produce models that predict the motion of ions. By identifying chemical features that help certain ions pass more easily than others, the project will support better membrane design. The results will improve U.S. critical mineral recovery, water treatment, and energy technologies, while also training students through c",548900.0,548900.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2543343,,Experimental Research | Machine Learning Methods | Simulation,,Workforce Development,2026-03-02T12:47:32.339903+00:00
nsf-2543469,CAREER: Simulation Optimization Reimagined: Coupling Exploratory Simulation Analysis and Optimization for Holistic Decision Making,NSF,nsf,2026-07-01T00:00:00,2031-06-30T00:00:00,,"This Faculty Early Career Development Program (CAREER) grant will advance the national prosperity and economic welfare by enhancing the analytical capabilities of organizations in sectors such as healthcare, finance, construction, and national defense that leverage stochastic computer simulation models to make critical decisions in the face of uncertainty. This award supports a fundamental reinvention of how such models are paired with optimization methods to inform decision makers of risks and tradeoffs in stochastic system performance. This research will make simulation optimization approaches more systematic, productive, and aligned with user needs and facilitate more holistic decision making than conventional approaches. Close collaboration with industry partners will ensure the methods created are intuitive, informative, and practicable. The educational component of the project will create high school outreach activities and teaching modules that explore analysis techniques for si",551703.0,551703.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2543469,,Machine Learning Methods | Simulation,,National Security | Workforce Development,2026-03-02T12:47:32.343000+00:00
nsf-2543603,CAREER: Integrated Digital Thread for Self-Evolving Cooperative Robotics Remanufacturing,NSF,nsf,2026-08-01T00:00:00,2031-07-31T00:00:00,,"Remanufacturing restores worn or damaged products to like-new performance, extending the life of high-value assets while reducing dependency on costly replacements and lowering supply chain vulnerability. Many repairs still depend on technician judgment that is difficult to document and is increasingly at risk as experienced workers retire faster than replacements can be trained. Although robots offer the potential to alleviate workforce shortages, today’s programmed automation is largely limited to repetitive operations and cannot replicate human-level reasoning and adaptability required to manage the unique geometries, uncertain damage states, and evolving conditions inherent to repair workflows. This Faculty Early Career Development (CAREER) project aims to create scientific and educational foundations for an integrated digital thread framework that enables autonomous, self-evolving cooperative robotic systems capable of additive repair. This project advances remanufacturing by movi",509434.0,509434.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2543603,Artificial Intelligence | Education Research | Robotics,Simulation,,Workforce Development,2026-03-02T12:47:32.341432+00:00
nsf-2545233,A Generalizable Platform for Adaptive Control of Complex Biological Systems,NSF,nsf,2026-09-01T00:00:00,2029-08-31T00:00:00,,"Researchers who study human diseases or test new drugs often use microfluidic devices that contain embedded cells that mimic the behavior of specific organs. The usual approach is to make a change in the cells’ environment and observe changes in the health of the cells. This project will expand that approach by finding ways to control the health of the cells as their environment changes. The project will create an “organ-on-a-controller” system that controls the health and function of human liver cells called hepatocytes. The system will integrate three components: 1) miniature sensors that monitor multiple vital signs of the hepatocytes in real-time, such as protein production and metabolite levels; 2) a computer model that learns how the cells respond to different drugs or nutrients; and 3) an intelligent control system that uses this knowledge to automatically adjust the input to the cells so that a particular cellular health state and function can be achieved. This approach will ke",400000.0,400000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2545233,,Machine Learning Methods,,,2026-03-02T12:47:32.339759+00:00
nsf-2549901,ERI: Fundamental Study of Multiscale Dynamics of Molecular Mixing and Chemical Reactions in Multiphase Systems,NSF,nsf,2026-07-01T00:00:00,2028-06-30T00:00:00,,"This project will examine how different substances mix and react in flowing mixtures of liquids and gases. When fluids mix and undergo chemical reactions, tiny random swirls of turbulence control how well molecules mix and react. Understanding these processes is very important because they affect the efficiently of energy production, how pollutants spread in the environment, and how chemicals, materials, and medicines are manufactured. However, predicting and controlling mixing and reactions in such chaotic flows is a big challenge because small changes at the microscopic level can lead to very different outcomes. To address this challenge, the project will develop new computer models that more accurately represent mixing and chemical reactions in complex flows at the molecular scale. Better simulation of these processes will help engineers design cleaner engines, more efficient chemical reactors, and processes to create materials with less waste and pollution. The project will also em",200000.0,200000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2549901,Environmental Science | Public Health,Experimental Research | Simulation,Older Adults | Persons with Disabilities,Workforce Development,2026-03-02T12:47:32.342604+00:00
